insertId,jsonPayload.container.created,jsonPayload.container.id,jsonPayload.container.imageId,jsonPayload.container.imageName,jsonPayload.container.name,jsonPayload.instance.id,jsonPayload.instance.name,jsonPayload.instance.zone,jsonPayload.message,logName,receiveLocation,receiveTimestamp,resource.labels.instance_id,resource.labels.project_id,resource.labels.zone,resource.type,timestamp
1xej29vf3fearb,2024-11-08T22:43:05.855512914Z,b76bae1041b499fe4664c57ad6a39c039ecdee8971d5f8c5837510c584ac583e,sha256:2f5acdc0a87871e8449c9cf33a56e17ac10441b42d0fc1d0af7dcb402120bfbc,redpandadata/redpanda:latest,/components-kafka-1,6978550629014953703,normal,europe-west3-b,"INFO  2024-11-09 00:01:16,325 [shard 0:main] main - application.cc:461 - Shutdown complete.",projects/baws24-1/logs/gcplogs-docker-driver,,2024-11-09T00:01:16.635417195Z,6978550629014953703,baws24-1,europe-west3-b,gce_instance,2024-11-09T00:01:16.325643978Z
1xej29vf3feara,2024-11-08T22:43:05.855512914Z,b76bae1041b499fe4664c57ad6a39c039ecdee8971d5f8c5837510c584ac583e,sha256:2f5acdc0a87871e8449c9cf33a56e17ac10441b42d0fc1d0af7dcb402120bfbc,redpandadata/redpanda:latest,/components-kafka-1,6978550629014953703,normal,europe-west3-b,"INFO  2024-11-09 00:01:16,216 [shard 0:main] kvstore - kvstore.cc:125 - Stopping kvstore: dir /var/lib/redpanda/data/redpanda/kvstore/0_0",projects/baws24-1/logs/gcplogs-docker-driver,,2024-11-09T00:01:16.635417195Z,6978550629014953703,baws24-1,europe-west3-b,gce_instance,2024-11-09T00:01:16.221114292Z
1xej29vf3fear9,2024-11-08T22:43:05.855512914Z,b76bae1041b499fe4664c57ad6a39c039ecdee8971d5f8c5837510c584ac583e,sha256:2f5acdc0a87871e8449c9cf33a56e17ac10441b42d0fc1d0af7dcb402120bfbc,redpandadata/redpanda:latest,/components-kafka-1,6978550629014953703,normal,europe-west3-b,"INFO  2024-11-09 00:01:16,138 [shard 0:main] raft - coordinated_recovery_throttle.cc:134 - Stopping recovery throttle",projects/baws24-1/logs/gcplogs-docker-driver,,2024-11-09T00:01:16.635417195Z,6978550629014953703,baws24-1,europe-west3-b,gce_instance,2024-11-09T00:01:16.140058646Z
1xej29vf3fear8,2024-11-08T22:43:05.855512914Z,b76bae1041b499fe4664c57ad6a39c039ecdee8971d5f8c5837510c584ac583e,sha256:2f5acdc0a87871e8449c9cf33a56e17ac10441b42d0fc1d0af7dcb402120bfbc,redpandadata/redpanda:latest,/components-kafka-1,6978550629014953703,normal,europe-west3-b,"INFO  2024-11-09 00:01:16,111 [shard 0:main] cluster - drain_manager.cc:35 - Drain manager stopped",projects/baws24-1/logs/gcplogs-docker-driver,,2024-11-09T00:01:16.635417195Z,6978550629014953703,baws24-1,europe-west3-b,gce_instance,2024-11-09T00:01:16.111592188Z
1xej29vf3fear7,2024-11-08T22:43:05.855512914Z,b76bae1041b499fe4664c57ad6a39c039ecdee8971d5f8c5837510c584ac583e,sha256:2f5acdc0a87871e8449c9cf33a56e17ac10441b42d0fc1d0af7dcb402120bfbc,redpandadata/redpanda:latest,/components-kafka-1,6978550629014953703,normal,europe-west3-b,"INFO  2024-11-09 00:01:16,110 [shard 0:main] cluster - drain_manager.cc:31 - Drain manager stopping",projects/baws24-1/logs/gcplogs-docker-driver,,2024-11-09T00:01:16.635417195Z,6978550629014953703,baws24-1,europe-west3-b,gce_instance,2024-11-09T00:01:16.111478195Z
1xej29vf3fear6,2024-11-08T22:43:05.855512914Z,b76bae1041b499fe4664c57ad6a39c039ecdee8971d5f8c5837510c584ac583e,sha256:2f5acdc0a87871e8449c9cf33a56e17ac10441b42d0fc1d0af7dcb402120bfbc,redpandadata/redpanda:latest,/components-kafka-1,6978550629014953703,normal,europe-west3-b,"INFO  2024-11-09 00:01:16,104 [shard 0:main] cluster - members_manager.cc:938 - stopping cluster::members_manager...",projects/baws24-1/logs/gcplogs-docker-driver,,2024-11-09T00:01:16.635417195Z,6978550629014953703,baws24-1,europe-west3-b,gce_instance,2024-11-09T00:01:16.106801552Z
1xej29vf3fear5,2024-11-08T22:43:05.855512914Z,b76bae1041b499fe4664c57ad6a39c039ecdee8971d5f8c5837510c584ac583e,sha256:2f5acdc0a87871e8449c9cf33a56e17ac10441b42d0fc1d0af7dcb402120bfbc,redpandadata/redpanda:latest,/components-kafka-1,6978550629014953703,normal,europe-west3-b,"INFO  2024-11-09 00:01:16,093 [shard 0:main] cluster - controller_backend.cc:371 - Stopping Controller Backend...",projects/baws24-1/logs/gcplogs-docker-driver,,2024-11-09T00:01:16.635417195Z,6978550629014953703,baws24-1,europe-west3-b,gce_instance,2024-11-09T00:01:16.093583892Z
1xej29vf3fear4,2024-11-08T22:43:05.855512914Z,b76bae1041b499fe4664c57ad6a39c039ecdee8971d5f8c5837510c584ac583e,sha256:2f5acdc0a87871e8449c9cf33a56e17ac10441b42d0fc1d0af7dcb402120bfbc,redpandadata/redpanda:latest,/components-kafka-1,6978550629014953703,normal,europe-west3-b,"INFO  2024-11-09 00:01:16,084 [shard 0:main] cluster - config_manager.cc:249 - Stopping Config Manager...",projects/baws24-1/logs/gcplogs-docker-driver,,2024-11-09T00:01:16.635417195Z,6978550629014953703,baws24-1,europe-west3-b,gce_instance,2024-11-09T00:01:16.086483977Z
1xej29vf3fear3,2024-11-08T22:43:05.855512914Z,b76bae1041b499fe4664c57ad6a39c039ecdee8971d5f8c5837510c584ac583e,sha256:2f5acdc0a87871e8449c9cf33a56e17ac10441b42d0fc1d0af7dcb402120bfbc,redpandadata/redpanda:latest,/components-kafka-1,6978550629014953703,normal,europe-west3-b,"INFO  2024-11-09 00:01:16,074 [shard 0:main] cluster - members_backend.cc:178 - error encountered while handling cluster state reconciliation - seastar::broken_condition_variable (Condition variable is broken)",projects/baws24-1/logs/gcplogs-docker-driver,,2024-11-09T00:01:16.635417195Z,6978550629014953703,baws24-1,europe-west3-b,gce_instance,2024-11-09T00:01:16.083874420Z
1xej29vf3fear2,2024-11-08T22:43:05.855512914Z,b76bae1041b499fe4664c57ad6a39c039ecdee8971d5f8c5837510c584ac583e,sha256:2f5acdc0a87871e8449c9cf33a56e17ac10441b42d0fc1d0af7dcb402120bfbc,redpandadata/redpanda:latest,/components-kafka-1,6978550629014953703,normal,europe-west3-b,"INFO  2024-11-09 00:01:16,071 [shard 0:main] cluster - members_backend.cc:62 - Stopping Members Backend...",projects/baws24-1/logs/gcplogs-docker-driver,,2024-11-09T00:01:16.635417195Z,6978550629014953703,baws24-1,europe-west3-b,gce_instance,2024-11-09T00:01:16.071842636Z
1xej29vf3fear1,2024-11-08T22:43:05.855512914Z,b76bae1041b499fe4664c57ad6a39c039ecdee8971d5f8c5837510c584ac583e,sha256:2f5acdc0a87871e8449c9cf33a56e17ac10441b42d0fc1d0af7dcb402120bfbc,redpandadata/redpanda:latest,/components-kafka-1,6978550629014953703,normal,europe-west3-b,"INFO  2024-11-09 00:01:16,070 [shard 0:main] cluster - health_manager.cc:61 - Stopping Health Manager...",projects/baws24-1/logs/gcplogs-docker-driver,,2024-11-09T00:01:16.635417195Z,6978550629014953703,baws24-1,europe-west3-b,gce_instance,2024-11-09T00:01:16.070881474Z
1xej29vf3fear0,2024-11-08T22:43:05.855512914Z,b76bae1041b499fe4664c57ad6a39c039ecdee8971d5f8c5837510c584ac583e,sha256:2f5acdc0a87871e8449c9cf33a56e17ac10441b42d0fc1d0af7dcb402120bfbc,redpandadata/redpanda:latest,/components-kafka-1,6978550629014953703,normal,europe-west3-b,"INFO  2024-11-09 00:01:16,069 [shard 0:main] cluster - health_monitor_backend.cc:107 - Stopping Health Monitor Backend...",projects/baws24-1/logs/gcplogs-docker-driver,,2024-11-09T00:01:16.635417195Z,6978550629014953703,baws24-1,europe-west3-b,gce_instance,2024-11-09T00:01:16.070009328Z
1xej29vf3feaqz,2024-11-08T22:43:05.855512914Z,b76bae1041b499fe4664c57ad6a39c039ecdee8971d5f8c5837510c584ac583e,sha256:2f5acdc0a87871e8449c9cf33a56e17ac10441b42d0fc1d0af7dcb402120bfbc,redpandadata/redpanda:latest,/components-kafka-1,6978550629014953703,normal,europe-west3-b,"INFO  2024-11-09 00:01:16,067 [shard 0:main] cluster - health_monitor_frontend.cc:43 - Stopping Health Monitor Frontend...",projects/baws24-1/logs/gcplogs-docker-driver,,2024-11-09T00:01:16.635417195Z,6978550629014953703,baws24-1,europe-west3-b,gce_instance,2024-11-09T00:01:16.069905627Z
1xej29vf3feaqy,2024-11-08T22:43:05.855512914Z,b76bae1041b499fe4664c57ad6a39c039ecdee8971d5f8c5837510c584ac583e,sha256:2f5acdc0a87871e8449c9cf33a56e17ac10441b42d0fc1d0af7dcb402120bfbc,redpandadata/redpanda:latest,/components-kafka-1,6978550629014953703,normal,europe-west3-b,"INFO  2024-11-09 00:01:16,066 [shard 0:main] cluster - feature_manager.cc:189 - Stopping Feature Manager...",projects/baws24-1/logs/gcplogs-docker-driver,,2024-11-09T00:01:16.635417195Z,6978550629014953703,baws24-1,europe-west3-b,gce_instance,2024-11-09T00:01:16.067171209Z
1xej29vf3feaqx,2024-11-08T22:43:05.855512914Z,b76bae1041b499fe4664c57ad6a39c039ecdee8971d5f8c5837510c584ac583e,sha256:2f5acdc0a87871e8449c9cf33a56e17ac10441b42d0fc1d0af7dcb402120bfbc,redpandadata/redpanda:latest,/components-kafka-1,6978550629014953703,normal,europe-west3-b,"INFO  2024-11-09 00:01:16,065 [shard 0:main] cluster - metrics_reporter.cc:185 - Stopping Metrics Reporter...",projects/baws24-1/logs/gcplogs-docker-driver,,2024-11-09T00:01:16.635417195Z,6978550629014953703,baws24-1,europe-west3-b,gce_instance,2024-11-09T00:01:16.067059942Z
1xej29vf3feaqw,2024-11-08T22:43:05.855512914Z,b76bae1041b499fe4664c57ad6a39c039ecdee8971d5f8c5837510c584ac583e,sha256:2f5acdc0a87871e8449c9cf33a56e17ac10441b42d0fc1d0af7dcb402120bfbc,redpandadata/redpanda:latest,/components-kafka-1,6978550629014953703,normal,europe-west3-b,"INFO  2024-11-09 00:01:16,063 [shard 0:main] cluster - partition_balancer_backend.cc:289 - stopping...",projects/baws24-1/logs/gcplogs-docker-driver,,2024-11-09T00:01:16.635417195Z,6978550629014953703,baws24-1,europe-west3-b,gce_instance,2024-11-09T00:01:16.064425419Z
1xej29vf3feaqv,2024-11-08T22:43:05.855512914Z,b76bae1041b499fe4664c57ad6a39c039ecdee8971d5f8c5837510c584ac583e,sha256:2f5acdc0a87871e8449c9cf33a56e17ac10441b42d0fc1d0af7dcb402120bfbc,redpandadata/redpanda:latest,/components-kafka-1,6978550629014953703,normal,europe-west3-b,"INFO  2024-11-09 00:01:16,060 [shard 0:main] data-migrate - data_migration_backend.cc:184 - backend stopped",projects/baws24-1/logs/gcplogs-docker-driver,,2024-11-09T00:01:16.635417195Z,6978550629014953703,baws24-1,europe-west3-b,gce_instance,2024-11-09T00:01:16.061050114Z
1xej29vf3feaqu,2024-11-08T22:43:05.855512914Z,b76bae1041b499fe4664c57ad6a39c039ecdee8971d5f8c5837510c584ac583e,sha256:2f5acdc0a87871e8449c9cf33a56e17ac10441b42d0fc1d0af7dcb402120bfbc,redpandadata/redpanda:latest,/components-kafka-1,6978550629014953703,normal,europe-west3-b,"INFO  2024-11-09 00:01:16,057 [shard 0:main] data-migrate - data_migration_backend.cc:170 - backend stopping",projects/baws24-1/logs/gcplogs-docker-driver,,2024-11-09T00:01:16.635417195Z,6978550629014953703,baws24-1,europe-west3-b,gce_instance,2024-11-09T00:01:16.058192783Z
1xej29vf3feaqt,2024-11-08T22:43:05.855512914Z,b76bae1041b499fe4664c57ad6a39c039ecdee8971d5f8c5837510c584ac583e,sha256:2f5acdc0a87871e8449c9cf33a56e17ac10441b42d0fc1d0af7dcb402120bfbc,redpandadata/redpanda:latest,/components-kafka-1,6978550629014953703,normal,europe-west3-b,"INFO  2024-11-09 00:01:16,051 [shard 0:main] cluster - leader_balancer.cc:225 - Stopping Leader Balancer...",projects/baws24-1/logs/gcplogs-docker-driver,,2024-11-09T00:01:16.635417195Z,6978550629014953703,baws24-1,europe-west3-b,gce_instance,2024-11-09T00:01:16.052674600Z
1xej29vf3feaqs,2024-11-08T22:43:05.855512914Z,b76bae1041b499fe4664c57ad6a39c039ecdee8971d5f8c5837510c584ac583e,sha256:2f5acdc0a87871e8449c9cf33a56e17ac10441b42d0fc1d0af7dcb402120bfbc,redpandadata/redpanda:latest,/components-kafka-1,6978550629014953703,normal,europe-west3-b,"INFO  2024-11-09 00:01:16,032 [shard 0:main] auditing - audit_log_manager.cc:699 - Ignored update to audit_enabled(), auditing is already disabled",projects/baws24-1/logs/gcplogs-docker-driver,,2024-11-09T00:01:16.635417195Z,6978550629014953703,baws24-1,europe-west3-b,gce_instance,2024-11-09T00:01:16.032835287Z
