timestamp,fault-target,component,severity_level,templated_message
2024-11-09T00:01:16.017191717Z,flink-master,flink-master,WARN,"   akka.remote.ReliableDeliverySupervisor                       [] - Association with remote system [akka.tcp::] has failed, address is now gated for [] ms. Reason: [Association failed with [akka.tcp::]] Caused by: [java.net.ConnectException: Connection refused: :]"
2024-11-09T00:01:15.969416501Z,flink-master,flink-master,WARN,   akka.remote.transport.netty.NettyTransport                   [] - Remote connection to [null] failed with java.net.ConnectException: Connection refused: :
2024-11-08T23:19:24.899155439Z,flink-master,flink-worker,INFO,   org.apache.flink.runtime.taskexecutor.TaskManagerRunner      [] - Terminating TaskManagerRunner with exit code .
2024-11-08T23:19:24.898287119Z,flink-master,flink-worker,INFO,   org.apache.flink.runtime.rpc.akka.AkkaRpcService             [] - Stopped Akka  service.
2024-11-08T23:19:24.878596010Z,flink-master,flink-worker,INFO,   org.apache.flink.runtime.rpc.akka.AkkaRpcService             [] - Stopped Akka  service.
2024-11-08T23:19:24.772992780Z,flink-master,flink-worker,INFO,   org.apache.flink.runtime.rpc.akka.AkkaRpcService             [] - Stopping Akka  service.
2024-11-08T23:19:24.767235650Z,flink-master,flink-worker,INFO,   org.apache.flink.runtime.rpc.akka.AkkaRpcService             [] - Stopping Akka  service.
2024-11-08T23:19:24.760668031Z,flink-master,flink-worker,INFO,   org.apache.flink.runtime.taskexecutor.TaskExecutor           [] - Stopped TaskExecutor akka.tcp::
2024-11-08T23:19:24.751913772Z,flink-master,flink-worker,INFO,   org.apache.flink.runtime.taskexecutor.DefaultJobLeaderService [] - Stop job leader service.
2024-11-08T23:19:24.751169672Z,flink-master,flink-worker,INFO,   org.apache.flink.runtime.taskexecutor.KvStateService         [] - Shutting down the kvState service and its components.
2024-11-08T23:19:24.740452923Z,flink-master,flink-worker,INFO,   org.apache.flink.runtime.io.network.netty.NettyServer        [] - Successful shutdown (took  ms).
2024-11-08T23:19:24.737809793Z,flink-master,flink-worker,INFO,   org.apache.flink.runtime.io.network.netty.NettyClient        [] - Successful shutdown (took  ms).
2024-11-08T23:19:24.735084383Z,flink-master,flink-worker,INFO,   org.apache.flink.runtime.io.network.NettyShuffleEnvironment  [] - Shutting down the network environment and its components.
2024-11-08T23:19:24.723116974Z,flink-master,flink-worker,INFO,   org.apache.flink.runtime.taskexecutor.DefaultJobLeaderService [] - Stop job leader service.
2024-11-08T23:19:24.713251165Z,flink-master,flink-worker,INFO,   org.apache.flink.runtime.taskexecutor.TaskExecutor           [] - Terminating registration attempts towards ResourceManager akka.tcp::*.
2024-11-08T23:19:24.712518815Z,flink-master,flink-worker,INFO,   org.apache.flink.runtime.taskexecutor.TaskExecutor           [] - Stopping TaskExecutor akka.tcp::
2024-11-08T23:19:24.706693016Z,flink-master,flink-worker,ERROR,  org.apache.flink.runtime.taskexecutor.TaskManagerRunner      [] - Fatal error occurred while executing the TaskManager. Shutting it down...
2024-11-08T23:19:24.704375876Z,flink-master,flink-worker,ERROR,  org.apache.flink.runtime.taskexecutor.TaskExecutor           [] - Fatal error occurred in TaskExecutor akka.tcp::
2024-11-08T23:19:16.272439424Z,flink-master,flink-worker,INFO,"   org.apache.flink.runtime.taskexecutor.TaskExecutor           [] - Could not resolve ResourceManager address akka.tcp::*, retrying in  ms: Could not connect to rpc endpoint under address akka.tcp::*."
2024-11-08T23:19:16.271203644Z,flink-master,flink-worker,WARN,"   akka.remote.ReliableDeliverySupervisor                       [] - Association with remote system [akka.tcp::] has failed, address is now gated for [] ms. Reason: [Association failed with [akka.tcp::]] Caused by: [java.net.UnknownHostException: master: Temporary failure in name resolution]"
